YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,EMISSIONS,COMB (km/L),CITY (km/L),HWY (km/L)
2000,BMW,M COUPE,TWO-SEATER,3.2,6,M5,Z,244,9.433962264150944,8.064516129032258,11.764705882352942
2000,BMW,M ROADSTER,MINICOMPACT,3.2,6,M5,Z,244,9.433962264150944,8.064516129032258,11.764705882352942
2000,BMW,M5,COMPACT,4.9,8,M6,Z,331,6.944444444444445,5.649717514124294,9.615384615384615
2000,BMW,X5,SUV - STANDARD,4.4,8,A5,Z,258,8.928571428571429,7.518796992481203,11.627906976744187
2000,BMW,Z3,SUBCOMPACT,2.5,6,A4,Z,244,9.433962264150944,8.0,12.048192771084336
2000,BMW,Z3,SUBCOMPACT,2.5,6,M5,Z,232,9.900990099009901,8.403361344537815,12.5
2000,BMW,Z3,SUBCOMPACT,2.8,6,A4,Z,244,9.433962264150944,8.064516129032258,11.904761904761905
2000,BMW,Z3,SUBCOMPACT,2.8,6,M5,Z,244,9.433962264150944,8.064516129032258,11.904761904761905
2000,BMW,Z8,TWO-SEATER,4.9,8,M6,Z,336,6.8493150684931505,5.74712643678161,9.00900900900901
2000,BUICK,CENTURY,MID-SIZE,3.1,6,A4,X,223,10.309278350515465,8.620689655172415,13.698630136986301
2000,BUICK,LESABRE,FULL-SIZE,3.8,6,A4,X,230,10.0,8.130081300813007,13.698630136986301
2000,BUICK,PARK AVENUE,FULL-SIZE,3.8,6,A4,X,242,9.523809523809524,7.8125,12.987012987012987
2000,BUICK,PARK AVENUE #,FULL-SIZE,3.8,6,A4,Z,253,9.090909090909092,7.407407407407407,12.5
2000,BUICK,REGAL,MID-SIZE,3.8,6,A4,X,228,10.1010101010101,8.333333333333334,13.513513513513512
2000,BUICK,REGAL #,MID-SIZE,3.8,6,A4,Z,253,9.090909090909092,7.407407407407407,12.5
2000,CADILLAC,CATERA,MID-SIZE,3.0,6,A4,Z,258,8.928571428571429,7.633587786259542,11.363636363636363
2000,CADILLAC,DEVILLE,FULL-SIZE,4.6,8,A4,Z,260,8.849557522123893,7.194244604316546,12.345679012345679
2000,CADILLAC,ELDORADO,MID-SIZE,4.6,8,A4,Z,260,8.849557522123893,7.194244604316546,12.345679012345679
2000,CADILLAC,ESCALADE 4X4,SUV - STANDARD,5.7,8,A4,X,382,6.024096385542168,5.208333333333334,7.462686567164179
2000,CADILLAC,SEVILLE,MID-SIZE,4.6,8,A4,Z,260,8.849557522123893,7.194244604316546,12.345679012345679
2000,CHEVROLET,ASTRO AWD CARGO,VAN - CARGO,4.3,6,A4,X,308,7.462686567164179,6.5359477124183005,9.00900900900901
2000,CHEVROLET,ASTRO AWD PASSENGER,VAN - PASSENGER,4.3,6,A4,X,317,7.246376811594202,6.369426751592357,8.771929824561402
2000,CHEVROLET,ASTRO CARGO,VAN - CARGO,4.3,6,A4,X,294,7.8125,6.896551724137931,9.25925925925926
2000,CHEVROLET,ASTRO PASSENGER,VAN - PASSENGER,4.3,6,A4,X,324,7.092198581560284,6.289308176100628,8.403361344537815
2000,CHEVROLET,BLAZER,SUV - STANDARD,4.3,6,A4,X,294,7.8125,6.896551724137931,9.25925925925926
2000,CHEVROLET,BLAZER,SUV - STANDARD,4.3,6,M5,X,288,8.0,6.8493150684931505,10.1010101010101
2000,CHEVROLET,BLAZER 4X4,SUV - STANDARD,4.3,6,A4,X,308,7.462686567164179,6.578947368421053,9.00900900900901
